T	q_ratio	TPD_harm	Des_rate_harm	pre_harm	TPD_tait	Des_rate_tait	pre_tait	TPD_HH	Des_rate_HH	pre_HH
124.30000000000011	0.04104558651656231	1.4069515442764442e-09	2.8139031677318383e-09	6.149905478802009e+16	3.427775766011549e-08	6.855555996492827e-08	1.4983110245776266e+18	3.8101910139784865e-14	7.620382027962807e-14	1665467018259.4915
124.4000000000001	0.040940432121066093	1.4748807182965368e-09	2.9497615237450425e-09	6.1514398017568424e+16	3.6025016699502094e-08	7.205008278911713e-08	1.502534165630262e+18	3.99315500748395e-14	7.986310014974318e-14	1665467018259.4915
124.50000000000011	0.04083558710218118	1.545971119056114e-09	3.0919423340252364e-09	6.152966615980172e+16	3.785840148917229e-08	7.571685760972159e-08	1.506765802236138e+18	4.1845895655445834e-14	8.369179131096227e-14	1665467018259.4915
124.60000000000011	0.04073105044700008	1.62036426222034e-09	3.240728629979158e-09	6.154485935689556e+16	3.978201069538217e-08	7.956408181016712e-08	1.511005944641147e+18	4.384872030542753e-14	8.769744061093272e-14	1665467018259.4915
124.70000000000012	0.04062682114621273	1.6982077436065804e-09	3.396415603325215e-09	6.15599777509282e+16	4.180013096291949e-08	8.360032873607766e-08	1.5152546030952975e+18	4.594395883735931e-14	9.188791767480403e-14	1665467018259.4915
124.80000000000011	0.04052289819409327	1.7796554892504397e-09	3.5593111062262345e-09	6.157502148388e+16	4.391724520702966e-08	8.78345642796361e-08	1.5195117878527096e+18	4.813571406297123e-14	9.627142812603637e-14	1665467018259.4915
124.9000000000001	0.04041928058848616	1.8648680152877744e-09	3.729736171054228e-09	6.158999069763219e+16	4.613804125633799e-08	9.227616416598672e-08	1.523777509171619e+18	5.0428263662107584e-14	1.0085652732431841e-13	1665467018259.4915
125.00000000000011	0.04031596733079303	1.9540126980185897e-09	3.908025550518992e-09	6.160488553396633e+16	4.846742086097347e-08	9.693493197009496e-08	1.5280517773143693e+18	5.282606731984892e-14	1.0565213463981131e-13	1665467018259.4915
125.10000000000011	0.04021295742595916	2.0472640545323722e-09	4.094528278919654e-09	6.161970613456328e+16	5.091050908066876e-08	1.0182111789361863e-07	1.5323346025474158e+18	5.533377414176572e-14	1.1066754828365614e-13	1665467018259.4915
125.20000000000012	0.04011024988246026	2.1448040342877625e-09	4.289608255304974e-09	6.16344526410024e+16	5.3472664068177494e-08	1.0694543833247898e-07	1.5366259951413181e+18	5.795623035762095e-14	1.1591246071537892e-13	1665467018259.4915
