T	mean	std	min_val	max_val
71.0	0.6848441494174335	1.396042361453959	0.6487653392221965	0.7227960628213137
72.0	0.6781988253084146	1.4027459225085015	0.6419710685648233	0.7163369903028277
73.0	0.6715866203099923	1.4094451247381072	0.6352209587793509	0.7098995091670316
74.0	0.6650091097823105	1.416139903302693	0.6285163075339311	0.7034854600603107
75.0	0.6584677655458963	1.4228302032040971	0.6218583119019732	0.697096578169573
76.0	0.6519639606533206	1.4295159784485418	0.6152480733753531	0.690734497709917
77.0	0.645498973976556	1.436197191274794	0.6086866026640871	0.6844007562582443
78.0	0.6390739946128576	1.442873811442465	0.6021748242878157	0.6780967989331679
79.0	0.6326901261127176	1.4495458155753789	0.5957135809649553	0.6718239824224775
80.0	0.6263483905340311	1.4562131865553707	0.5893036378057837	0.6655835788601963
81.0	0.6200497323270513	1.4628759129622848	0.5829456863159821	0.6593767795558673
82.0	0.6137950220550513	1.4695339885563234	0.5766403482173421	0.653204698579205
83.0	0.6075850599558474	1.4761874117992273	0.570388179092433	0.6470683762036251
84.0	0.6014205793494944	1.4828361854110947	0.5641896718600444	0.6409687822124533
85.0	0.5953022498975628	1.4894803159599252	0.5580452600881943	0.634906819071836
86.0	0.589230680719436	1.4961198134812408	0.5519553211514053	0.6288833249745133
87.0	0.5832064233710605	1.5027546911253786	0.545920179238844	0.6228990767587134
88.0	0.5772299746915297	1.5093849648302538	0.5399401082197648	0.6169547927064699
89.0	0.5713017795228044	1.5160106530176083	0.534015334372542	0.6110511352256708
90.0	0.5654222333077772	1.522631776310929	0.5281460389833854	0.6051887134201309
91.0	0.559591684571746	1.529248357273377	0.5223323608206304	0.5993680855519138
92.0	0.5538104372922488	1.5358604201642367	0.5165743984903061	0.5935897614000805
93.0	0.548078753162042	1.5424679907125016	0.5108722126784531	0.5878542045199314
94.0	0.5423968537498642	1.5490710959063616	0.5052258282854686	0.5821618344067293
95.0	0.5367649225634571	1.5556697637974375	0.4996352364575312	0.5765130285677682
96.0	0.5311831070191477	1.5622640233187408	0.49410039651994403	0.5709081245065343
97.0	0.5256515203221486	1.5688539041153846	0.48862123781704336	0.5653474216226008
98.0	0.5201702432615423	1.575439436387204	0.48319766146308885	0.5598311830307493
99.0	0.5147393259237769	1.582020650742457	0.4778295420083762	0.5543596373027064
100.0	0.5093587893283189	1.5885975780619033	0.47251672902459907	0.5489329801347362
101.0	0.5040286269889737	1.595170249372566	0.4672590486133175	0.5435513759442291
102.0	0.49874880640420827	1.6017386957305726	0.4620563048411896	0.538214959398274
103.0	0.493519270479681	1.6083029481125	0.45690828110546455	0.5329238368771031
104.0	0.4883399388860309	1.6148630373146926	0.4518147414330612	0.5276780878751678
105.0	0.4832107093548381	1.621418993860074	0.44677543171639	0.5224777663424848
106.0	0.47813145891554554	1.627970847911997	0.4417900808889374	0.5173229019687945
107.0	0.47310204507598674	1.6345186291947136	0.4368584020434662	0.5122135014129433
108.0	0.46812230694905765	1.6410623669200763	0.4319800934955618	0.5071495494798153
