T	q_vib_full	q_vib_frag	q_rot_vib_full	q_rot_vib_frag
58.0	0.36588886315731856	0.40902855622443013	1.6302907790323595	1.262578320760581
59.0	0.35696499078553645	0.3984904499178361	1.5823616487007461	1.2310659465261642
60.0	0.34825422024829844	0.38818599067485116	1.5361390257046659	1.2005651148529197
61.0	0.33975296441580344	0.37811397562161925	1.4915480153604583	1.1710329478132295
62.0	0.3314575618445273	0.3682728319715338	1.4485179326614377	1.1424290664927088
63.0	0.32336429101358416	0.3586606529344132	1.4069819940640502	1.114715397210196
64.0	0.31546938334694824	0.34927523143831285	1.3668770376602828	1.087855996156293
65.0	0.3077690351101394	0.3401140917268125	1.32814326863808	1.061816890427393
66.0	0.3002594182637878	0.33117451890209454	1.2907240273141516	1.0365659336822897
67.0	0.29293669035075115	0.32245358648977607	1.2545655773540787	1.0120726748639974
68.0	0.2857970034880965	0.31394818210551423	1.2196169120806597	0.9883082386162098
69.0	0.27883651253030733	0.3056550313061141	1.1858295770196985	0.9652452161855711
70.0	0.2720513824653964	0.29757071970942794	1.1531575070481426	0.9428575657416868
71.0	0.265437795101263	0.2896917134679305	1.1215568766974808	0.9211205211690636
72.0	0.25899195509565454	0.28201437818062053	1.0909859623293212	0.9000105084923182
73.0	0.2527100953792297	0.27453499632701833	1.0614050150435415	0.8795050691891245
74.0	0.2465884820178056	0.26724978330557114	1.0327761433050668	0.8595827897274823
75.0	0.2406234185565338	0.2601549021568967	1.0050632043856351	0.8402232367356736
76.0	0.23481124988576657	0.25324647705004355	0.978231703813902	0.8214068972764689
77.0	0.22914836566550323	0.24652060560742795	0.9522487021126058	0.8031151237529824
78.0	0.2236312033427118	0.23997337014138312	0.927082728176891	0.7853300830226467
79.0	0.21825625079337954	0.23360084787238047	0.9027036987144464	0.7680347093394939
80.0	0.2130200486188452	0.22739912019600056	0.8790828432270055	0.751212660783243
81.0	0.20791919212390889	0.22136428106271316	0.8561926340650077	0.734848278868241
82.0	0.20295033300222606	0.21549244453145608	0.834006721133541	0.7189265510554835
83.0	0.19811018075267905	0.2097797515549666	0.8124998708688882	0.703433075918206
84.0	0.19339550384875104	0.20422237605179636	0.7916479091417111	0.6883540307356821
85.0	0.18880313068133797	0.19881653031697777	0.7714276677755648	0.6736761413114378
86.0	0.18432995029398802	0.19355846982041092	0.7518169343986629	0.6593866538314405
87.0	0.17997291292821083	0.18844449743922329	0.7327944053729037	0.6454733085951564
88.0	0.17572903039522259	0.18347096716762162	0.7143396415675192	0.6319243154677645
89.0	0.17159537628933766	0.17863428734512757	0.69643302676567	0.6187283309159479
90.0	0.1675690860571264	0.17393092344155497	0.6790557285110893	0.6058744365020629
91.0	0.16364735693543814	0.16935740043466477	0.6621896612187889	0.5933521187227624
92.0	0.15982744777044958	0.1649103048141161	0.6458174513890255	0.5811512500885024
93.0	0.15610667872902378	0.16058628624312352	0.6299224047774324	0.5692620713492436
94.0	0.15248243091283653	0.1563820589071322	0.6144884753865777	0.5576751747801899
95.0	0.14895214588498096	0.15229440257682994	0.5995002361553612	0.5463814884487606
96.0	0.14551332511802317	0.14832016341092674	0.5849428512327735	0.535372261390793
97.0	0.14216352937185156	0.14445625452235247	0.5708020497316686	0.5246390496300902
98.0	0.13890037800901553	0.14069965632983522	0.5570641008664875	0.514173702981042
99.0	0.135721548254697	0.13704741671523968	0.5437157903863971	0.503968352579002
100.0	0.13262477440789353	0.13349665100555214	0.5307443982221455	0.4940153990877444
101.0	0.12960784700991856	0.13004454179699484	0.5181376772711502	0.4843075015374764
102.0	0.12666861197583487	0.12668833863743756	0.5058838332510015	0.474837566750614
103.0	0.12380496969400788	0.12342535758204028	0.49397150555673364	0.4655987393160342
104.0	0.12101487409857065	0.120252980635906	0.48238974906193616	0.45658439207561446
105.0	0.11829633171917357	0.11716865509644435	0.4711280168080822	0.4477881170897067
106.0	0.11564740071209828	0.11416989280713487	0.46017614353041675	0.4392037170508729
107.0	0.11306618987642064	0.11125426933344211	0.4495243299723403	0.43082519711744965
108.0	0.11055085765864635	0.10841942307075206	0.4391631279435615	0.4226467571408526
109.0	0.10809961114893299	0.10566305429338786	0.4290834260803327	0.4146627842623609
110.0	0.105710705071751	0.10298292415299731	0.4192764362688835	0.40686784585702357
111.0	0.1033824407735831	0.10037685363390056	0.409733680695742	0.3992566828039441
112.0	0.10111316521003962	0.09784272247233049	0.40044697949101804	0.39182420306377136
113.0	0.098901269934536	0.09537846804588648	0.3914084389329059	0.3845654755455467
114.0	0.09674519009049187	0.09298208423895962	0.3826104401836925	0.37747572424638137
115.0	0.09464340340881792	0.09065162028936277	0.3740456285294232	0.37055032264861965
116.0	0.0925944292122801	0.08838517962091648	0.36570690309711	0.3637847883601625
117.0	0.09059682742817957	0.08618091866629048	0.35758740702497477	0.3571747779846663
118.0	0.08864919761063117	0.08403704568398987	0.3496805180626908	0.35071608220925515
119.0	0.08675017797357558	0.08195181957299158	0.34197983957998473	0.3444046210981109
120.0	0.08489844443555579	0.07992354868818409	0.3344791919632315	0.338236439581236
121.0	0.08309270967714939	0.07795058965943831	0.3271726043808631	0.3322077031282712
122.0	0.08133172221183609	0.07603134621683988	0.3200543068995292	0.3263146935979253
123.0	0.07961426547100553	0.07416426802433569	0.31311872293397874	0.32055380525426513
124.0	0.07793915690368002	0.07234784952379732	0.30636046201458833	0.314921540941523
125.0	0.07630524709146921	0.0705806287912691	0.2997743128573749	0.30941450840972023
126.0	0.07471141887918134	0.06886118640695717	0.29335523672215363	0.3040294167838425
127.0	0.07315658652144524	0.06718814434032079	0.28709836104530156	0.29876307316970996
128.0	0.07163969484562911	0.06556016485144825	0.280998973334316	0.29361237939013857
129.0	0.07015971843128066	0.06397594940973571	0.27505251531204267	0.2885743288453533
130.0	0.0687156608062616	0.06243423763073987	0.2692545772990964	0.28364600349195096
131.0	0.0673065536596911	0.0609338062319378	0.2636008928236004	0.2788245709350721
132.0	0.06593145607176727	0.059473468008005	0.25808733344793744	0.27410728162869213
133.0	0.06458945376050047	0.05805207082610861	0.25270990380274283	0.2694914661792925
134.0	0.06327965834533884	0.05666849664161213	0.24746473681885905	0.2649745327483624
135.0	0.06200120662764862	0.05532166053449371	0.24234808914845904	0.26055396454948915
136.0	0.06075325988796447	0.05401050976669853	0.23735633676697435	0.2562273174359803
137.0	0.059535003199905956	0.05273402286056768	0.2324859707478911	0.251992217575199
138.0	0.05834564476062791	0.05149120869841912	0.2277335932028638	0.24784635920599488
139.0	0.057184415237647515	0.05028110564329608	0.2230959133799747	0.24378750247576117
140.0	0.05605056713187297	0.0491027806808403	0.21856974391331066	0.2398134713538891
141.0	0.05494337415663696	0.04795532858220194	0.2141519972173613	0.23592215161848148
142.0	0.053862130632529114	0.046837871087852014	0.20983968202006167	0.2321114889134035
143.0	0.05280615089779671	0.04574955611212485	0.2056299000285837	0.228379486872847
144.0	0.05177476873407944	0.0446895569682845	0.20151984272227436	0.22472420531074877
