T	TPD	Des_rate
17.299999999999976	1.1653354172260003e-137	1.1653354172260003e-138
17.399999999999974	8.73138405215532e-137	8.731384052155319e-138
17.49999999999997	6.3939713346005294e-136	6.393971334600529e-137
17.599999999999973	4.5780759444141304e-135	4.578075944414131e-136
17.699999999999974	3.2061619752685023e-134	3.2061619752685024e-135
17.799999999999972	2.1970493598475718e-133	2.1970493598475714e-134
17.89999999999997	1.4736833517418475e-132	1.4736833517418473e-133
17.99999999999997	9.679059469549032e-132	9.679059469549032e-133
18.099999999999973	6.226986912384109e-131	6.22698691238411e-132
18.19999999999997	3.925422774894725e-130	3.925422774894725e-131
18.29999999999997	2.4255110668039953e-129	2.4255110668039955e-130
18.39999999999997	1.4695011389645569e-128	1.469501138964557e-129
18.49999999999997	8.732224389582108e-128	8.732224389582108e-129
18.59999999999997	5.091006086167589e-127	5.091006086167589e-128
18.699999999999967	2.9129879951166637e-126	2.912987995116664e-127
18.79999999999997	1.6362885279517362e-125	1.636288527951736e-126
18.89999999999997	9.025976688796303e-125	9.025976688796303e-126
18.999999999999968	4.8906435259994076e-124	4.890643525999407e-125
19.099999999999966	2.6037365256901088e-123	2.6037365256901086e-124
19.199999999999967	1.3624058529782813e-122	1.3624058529782812e-123
19.29999999999997	7.008275227677749e-122	7.008275227677749e-123
19.399999999999967	3.5450741261844454e-121	3.5450741261844454e-122
19.499999999999964	1.7638474130663624e-120	1.7638474130663624e-121
19.599999999999966	8.634315995314253e-120	8.634315995314253e-121
19.699999999999967	4.1594277800120315e-119	4.159427780012032e-120
19.799999999999965	1.9723468004127721e-118	1.972346800412772e-119
19.899999999999963	9.20831609812177e-118	9.208316098121769e-119
19.999999999999964	4.2337533042429534e-117	4.233753304242953e-118
20.099999999999966	1.917425066985808e-116	1.917425066985808e-117
20.199999999999964	8.555707859838665e-116	8.555707859838665e-117
